time,alt,atmos_pressure,base_time,lat,lon,qc_atmos_pressure,qc_logger_temp,qc_logger_volt,qc_rh_mean,qc_temp_mean,qc_wdir_vec_mean,qc_wspd_arith_mean,qc_wspd_vec_mean,qc_wxt_cumul_precip,qc_wxt_precip_rate_mean,rh_mean,rh_std,temp_mean,temp_std,time_offset,wdir_vec_mean,wspd_arith_mean,wspd_vec_mean,wxt_precip_rate_mean
2025-05-28 01:55:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.8,0.044,11.9,0.0,2025-05-28 01:55:00,335.3,0.818,0.8,5.8
2025-05-28 01:56:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.7,0.075,11.9,0.0,2025-05-28 01:56:00,326.7,1.01,1.006,4.4
2025-05-28 01:57:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.049,11.9,0.0,2025-05-28 01:57:00,328.8,0.84,0.826,5.7
2025-05-28 01:58:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.6,0.077,11.9,0.0,2025-05-28 01:58:00,352.3,0.75,0.729,5.2
2025-05-28 01:59:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.9,0.082,11.9,0.0,2025-05-28 01:59:00,23.45,0.682,0.656,4.9
2025-05-28 02:01:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:01:00,54.71,1.648,1.638,3.5
2025-05-28 02:02:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:02:00,59.93,1.243,1.234,3.1
2025-05-28 02:03:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:03:00,44.53,1.037,1.003,3.4
2025-05-28 02:04:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:04:00,29.88,0.368,0.337,2.7
2025-05-28 02:05:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:05:00,25.87,0.293,0.253,2.8
2025-05-28 02:06:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:06:00,26.94,0.358,0.311,3.1
2025-05-28 02:07:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:07:00,46.94,0.668,0.64,2.6
2025-05-28 02:08:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.9,0.0,2025-05-28 02:08:00,50.25,0.818,0.813,2.8
2025-05-28 02:09:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,100.0,0.0,11.86,0.049,2025-05-28 02:09:00,50.26,1.052,1.043,2.4
